iter	Passed	Remaining
0	0	49
1	0	43
2	1	40
3	1	37
4	1	36
5	2	35
6	2	35
7	3	34
8	3	34
9	3	33
10	4	33
11	4	32
12	4	32
13	5	31
14	5	31
15	5	30
16	6	30
17	6	30
18	6	29
19	7	29
20	7	28
21	8	28
22	8	28
23	8	27
24	9	27
25	9	27
26	9	26
27	10	26
28	10	25
29	10	25
30	11	25
31	11	24
32	12	24
33	12	24
34	12	23
35	13	23
36	13	23
37	13	22
38	14	22
39	14	22
40	15	21
41	15	21
42	15	20
43	15	20
44	16	19
45	16	19
46	17	19
47	17	18
48	17	18
49	18	18
50	18	17
51	18	17
52	19	17
53	19	16
54	19	16
55	20	15
56	20	15
57	20	15
58	21	14
59	21	14
60	21	14
61	22	13
62	22	13
63	23	12
64	23	12
65	23	12
66	24	11
67	24	11
68	24	11
69	25	10
70	25	10
71	25	10
72	26	9
73	26	9
74	26	8
75	27	8
76	27	8
77	28	7
78	28	7
79	28	7
80	29	6
81	29	6
82	29	6
83	30	5
84	30	5
85	30	5
86	31	4
87	31	4
88	31	3
89	32	3
90	32	3
91	33	2
92	33	2
93	33	2
94	34	1
95	34	1
96	34	1
97	35	0
98	35	0
99	35	0
